"year","news","pages","sort","RandID"
"1955","Daily News Record - 1955 August 11","22","13003","7716730641"
"1955","Daily News Record - 1955 August 12","14","13004","716853097913"
"1955","Daily News Record - 1955 August 13","14","13005","950470694191"
"1955","Daily News Record - 1955 August 15","14","13006","502461165200"
"1955","Daily News Record - 1955 August 16","12","13007","535198639554"
"1955","Daily News Record - 1955 August 17","16","13008","409218800332"
"1955","Daily News Record - 1955 August 18","18","13009","184133618851"
"1955","Daily News Record - 1955 August 19","18","13010","49988159258"
"1955","Daily News Record - 1955 August 20","16","13011","313982215634"
"1955","Daily News Record - 1955 August 22","16","13012","545310445051"
"1955","Daily News Record - 1955 August 23","12","13013","493977802394"
"1955","Daily News Record - 1955 August 24","20","13014","163071527374"
"1955","Daily News Record - 1955 August 25","22","13015","66865803588"
"1955","Daily News Record - 1955 August 26","16","13016","15712285107"
"1955","Daily News Record - 1955 August 27","14","13017","220326161712"
"1955","Daily News Record - 1955 August 29","14","13018","16335076307"
"1955","Daily News Record - 1955 August 30","24","13019","610325172951"
"1955","Daily News Record - 1955 August 31","16","13020","70330109101"
"1955","Daily News Record - 1955 September 01","20","13021","738753269311"
"1955","Daily News Record - 1955 September 02","18","13022","282799204097"
"1955","Daily News Record - 1955 September 03","14","13023","24861238467"
"1955","Daily News Record - 1955 September 06","14","13024","482566066154"
"1955","Daily News Record - 1955 September 07","12","13025","673493853269"
"1955","Daily News Record - 1955 September 08","20","13026","55033283157"
"1955","Daily News Record - 1955 September 09","14","13027","213600992451"
"1955","Daily News Record - 1955 September 10","16","13028","408303404491"
"1955","Daily News Record - 1955 September 12","14","13029","779271135145"
"1955","Daily News Record - 1955 September 13","12","13030","105176184536"
"1955","Daily News Record - 1955 September 14","16","13031","544494666699"
"1955","Daily News Record - 1955 September 15","20","13032","28842969371"
"1955","Daily News Record - 1955 September 16","20","13033","54563804664"
"1955","Daily News Record - 1955 September 17","16","13034","928923820309"
"1955","Daily News Record - 1955 September 19","12","13035","764616204037"
"1955","Daily News Record - 1955 September 20","12","13036","349159868555"
"1955","Daily News Record - 1955 September 21","16","13037","783119492516"
"1955","Daily News Record - 1955 September 22","24","13038","566434143549"
"1955","Daily News Record - 1955 September 23","20","13039","399488182069"
"1955","Daily News Record - 1955 September 24","14","13040","586325276017"
"1955","Daily News Record - 1955 September 26","14","13041","365561665082"
"1955","Daily News Record - 1955 September 27","12","13042","22201607834"
"1955","Daily News Record - 1955 September 28","14","13043","406016394224"
"1955","Daily News Record - 1955 September 29","18","13044","427664907106"
"1955","Daily News Record - 1955 September 30","18","13045","999225927437"
"1961","Daily News Record - 1961 April 01","14","13046","216304650735"
"1961","Daily News Record - 1961 April 03","14","13047","934533355658"
"1961","Daily News Record - 1961 April 04","14","13048","64202260859"
"1961","Daily News Record - 1961 April 05","18","13049","491900783431"
"1961","Daily News Record - 1961 April 06","20","13050","791031328251"
"1961","Daily News Record - 1961 April 07","18","13051","673614064108"
"1961","Daily News Record - 1961 April 08","14","13052","312161287662"
"1961","Daily News Record - 1961 April 10","14","13053","753936964201"
"1961","Daily News Record - 1961 April 11","14","13054","769739789631"
"1961","Daily News Record - 1961 April 12","18","13055","400741408266"
"1961","Daily News Record - 1961 April 13","22","13056","323779702977"
"1961","Daily News Record - 1961 April 14","20","13057","803228498929"
"1961","Daily News Record - 1961 April 15","14","13058","18911844549"
"1961","Daily News Record - 1961 April 17","12","13059","42562678748"
"1961","Daily News Record - 1961 April 18","14","13060","358410730322"
"1961","Daily News Record - 1961 April 19","29","13061","438857764171"
"1961","Daily News Record - 1961 April 20","20","13062","699709437071"
"1961","Daily News Record - 1961 April 21","18","13063","760392699247"
"1961","Daily News Record - 1961 April 22","14","13064","835867619219"
"1961","Daily News Record - 1961 April 24","14","13065","91735810602"
"1961","Daily News Record - 1961 April 25","16","13066","411945403381"
"1961","Daily News Record - 1961 April 26","20","13067","319783157942"
"1961","Daily News Record - 1961 April 27","20","13068","426191846308"
"1961","Daily News Record - 1961 April 28","20","13069","744358328480"
"1961","Daily News Record - 1961 April 29","16","13070","531231452704"
"1961","Daily News Record - 1961 May 01","14","13071","277391781740"
"1961","Daily News Record - 1961 May 02","16","13072","243502470324"
"1961","Daily News Record - 1961 May 03","18","13073","226836675683"
"1961","Daily News Record - 1961 May 04","24","13074","319167873400"
"1961","Daily News Record - 1961 May 05","32","13075","324049058426"
"1961","Daily News Record - 1961 May 06","14","13076","306310674159"
"1961","Daily News Record - 1961 May 08","14","13077","642652454630"
"1961","Daily News Record - 1961 May 09","16","13078","746791028658"
"1961","Daily News Record - 1961 May 10","20","13079","459834274314"
"1961","Daily News Record - 1961 May 11","20","13080","302660089687"
"1961","Daily News Record - 1961 May 12","14","13081","155123186918"
"1961","Daily News Record - 1961 May 13","16","13082","613096268761"
"1961","Daily News Record - 1961 May 15","14","13083","545136697460"
"1961","Daily News Record - 1961 May 16","14","13084","355680063578"
"1961","Daily News Record - 1961 May 17","16","13085","874355697009"
"1961","Daily News Record - 1961 May 18","20","13086","463305449371"
"1961","Daily News Record - 1961 May 19","18","13087","171091799021"
"1961","Daily News Record - 1961 May 20","22","13088","923615584789"
"1961","Daily News Record - 1961 May 22","14","13089","124502878783"
"1961","Daily News Record - 1961 May 23","14","13090","15649807776"
"1961","Daily News Record - 1961 May 24","14","13091","723446467841"
"1961","Daily News Record - 1961 May 25","20","13092","188124156941"
"1961","Daily News Record - 1961 May 26","18","13093","942428581302"
"1961","Daily News Record - 1961 May 27","16","13094","290790511574"
"1961","Daily News Record - 1961 May 29","14","13095","975821235845"
"1961","Daily News Record - 1961 May 31","18","13096","285606461286"
"1961","Daily News Record - 1961 June 01","20","13097","261424412598"
"1961","Daily News Record - 1961 June 02","16","13098","404600756723"
"1961","Daily News Record - 1961 June 03","14","13099","541501594304"
"1961","Daily News Record - 1961 June 05","14","13100","518564218460"
"1961","Daily News Record - 1961 June 06","14","13101","867411322819"
"1961","Daily News Record - 1961 June 07","20","13102","32884854429"
"1961","Daily News Record - 1961 June 08","20","13103","37304543570"
"1961","Daily News Record - 1961 June 09","28","13104","247455219742"
"1961","Daily News Record - 1961 June 10","14","13105","880097890560"
"1961","Daily News Record - 1961 June 12","14","13106","885711308814"
"1961","Daily News Record - 1961 June 13","16","13107","868730581341"
"1961","Daily News Record - 1961 June 14","20","13108","508242060998"
"1961","Daily News Record - 1961 June 15","24","13109","207856298716"
"1961","Daily News Record - 1961 June 16","16","13110","139388449823"
"1961","Daily News Record - 1961 June 17","16","13111","132525397045"
"1961","Daily News Record - 1961 June 19","12","13112","526807675033"
"1961","Daily News Record - 1961 June 20","14","13113","152616048667"
"1961","Daily News Record - 1961 June 21","16","13114","665712748319"
"1961","Daily News Record - 1961 June 22","23","13115","250939602419"
"1961","Daily News Record - 1961 June 23","16","13116","208637320548"
"1961","Daily News Record - 1961 June 24","16","13117","99864524139"
"1961","Daily News Record - 1961 June 26","14","13118","70971502822"
"1961","Daily News Record - 1961 June 27","14","13119","601388890857"
"1961","Daily News Record - 1961 June 28","18","13120","370643248397"
"1961","Daily News Record - 1961 June 29","24","13121","18882578564"
